id,title,referral_link,bounty,bounty_display,bounty_currency,location,salary,priority,tags,description,boolean_query,outreach_message,linkedin_post,x_post,facebook_post,image_text,linkedin_comment,x_comment,facebook_comment,linkedin_profiles,status,connect_status,message_status,created_at,last_updated
N2oBXDLc-ZNeY81FpHCge,Technical Architect (Javascript),,921.6,"23,040,000 VND",VND,"Ho Chi Minh City, Vietnam",You will love it,urgent,"Engineering Management,Software and IT Services,GraphSQL,Claude Agent SDK,React,NestJS,MongoDB,Next.js,DevOps,Node.js,Microservices,JavaScript,PostgreSQL,Github,Docker,AWS,Artificial Intelligence (AI),GitLab CI,GCP (Google cloud platform),Azure","Be involved in Technical Team, and work together with the Web team and also the Mobile team.Responsible for building up the system, architecture design, database design, and technology solutions for the project.Review code, and review solutions for the project.Solving technical issues, and developing workarounds and alternative solutions.Support, train, and build programmer’s skill in the company.Continuously research, evaluate, and implement new technologies to maximize development efficiencySalary: Open to discussHeadcounts: 3Product/ Projects Description: dự án về logistics trọng điểm của KH. Purpose of hiring: New hire.Report to: Report cho Solution Architect và Product Owner (khách hàng)Team size and structure: trung bình mỗi team dự án sẽ có 4 dev Junior, 2 dev Senior, 1 Technical Architect, 2 BA, 2 QC, 1 designer, 1 Scrum Master.","site:linkedin.com/in ""Technical Architect"" (""Javascript"" OR ""GraphSQL"" OR ""Claude Agent SDK"" OR ""React"" OR ""NestJS"") (""machine learning"" OR ""artificial intelligence"") ""Ho Chi Minh City, Vietnam""","Hi [FirstName],

I came across your profile and was impressed by your experience. We're currently hiring for a Technical Architect role based in Ho Chi Minh City, Vietnam (You will love it), and your background seems like a great match.

Key skills we're looking for: Engineering Management, Software and IT Services, GraphSQL.

Would you be open to a quick chat to explore this opportunity?

Best regards,
Nhat - UCTalent",,,,,,,,,pending,pending,pending,2026-07-09 12:11,2026-07-09 12:11
UaloLuFKi_tCl8iiiW6q8,"Senior Software Engineer, Frontend",,3150.4,"$3,150",USD,"New York, United States","$160,000-$180,000/annually",normal,"Engineering,Software and IT Services,React,Tailwind,Next.js,Node.js,MongoDB,Datadog,TypeScript,PostgresDB,Playwright,AWS,Ruby on Rails (Ruby)","We're hiring a Senior Frontend Engineer to be the technical anchor for our Marketplace web rewrite - rebuilding the highest-traffic journeys and setting the frontend patterns the team will follow for the next 5 years. We expect to update ~75% of resortpass.com pages this year (foundation year for the web experience). The roadmap is aggressive: international expansion (Mexico & Caribbean this year, Europe next), in-housing search from Algolia, consumer experience rebuild, new Hotel SaaS tool, and Spa as a major new vertical.Senior role with Staff-leaning scope and clear growth path. Opportunity to become Tech Lead of the biggest features (full SRP and DLP rewrites) and expand cross-team influence across Marketplace Core, Growth, and Hotels.2/3 of traffic goes to web, making performance business-critical (Core Web Vitals, SEO, caching, API design). The web frontend is also the launchpad for AI integrations (concierge chatbot, AI spa booker). Tech stack: Next.js 16.x, App Router, React 19, Tailwind, shadcn UI. Also happy to evaluate strong Full Stack engineers willing to learn React/Next.js.","site:linkedin.com/in ""Senior Software Engineer, Frontend"" (""React"" OR ""Tailwind"" OR ""Next.js"" OR ""Node.js"" OR ""MongoDB"") (""ecommerce"" OR ""e-commerce"" OR ""marketplace"") ""New York, United States""","Hi [FirstName],

I came across your profile and was impressed by your experience. We're currently hiring for a Senior Software Engineer, Frontend role based in New York, United States ($160,000-$180,000/annually), and your background seems like a great match.

Key skills we're looking for: Engineering, Software and IT Services, React.

Would you be open to a quick chat to explore this opportunity?

Best regards,
Nhat - UCTalent",,,,,,,,,pending,pending,pending,2026-07-09 08:59,2026-07-09 12:11
1NiCN1FRDI2jbZVmobJ_q,Full Stack Software Engineer,,2953.6,"$2,954",USD,"San Francisco, United States","$150,000-$210,000/annually",normal,"Engineering,Software and IT Services,PostgreSQL,Docker,AWS,GraphSQL,REST API,TypeScript,AI Agents,SQL,GCP,Python","The Company is seeking an innovative Full-Stack Software Engineer to join our team. You will develop, deploy, and maintain user-facing applications, back-end APIs, databases, and cloud deployment infrastructure. As part of our dynamic startup environment, you will have opportunities to own features and shape our user experience and technical architecture. You'll collaborate within our team of software engineers, power systems experts, data scientists, and designers to deliver a powerful and performant SaaS platform. This is a critical early hire with a significant amount of responsibility and corresponding competitive (location-adjusted) salary and equity compensation. Generalist full-stack responsibilities, including data infrastructure, data pipelines, AI agent features; slot into ongoing priorities like data infra(current), pipelines (near-term), AI features (end of Q1); own larger feature sets within 3 months, organize epics/sub-stories, lead fixes; engineering-led culture with hands-on product vision from founders.","site:linkedin.com/in ""Full Stack Software Engineer"" (""PostgreSQL"" OR ""Docker"" OR ""GraphSQL"" OR ""REST API"" OR ""TypeScript"") ""San Francisco, United States""","Hi [FirstName],

I came across your profile and was impressed by your experience. We're currently hiring for a Full Stack Software Engineer role based in San Francisco, United States ($150,000-$210,000/annually), and your background seems like a great match.

Key skills we're looking for: Engineering, Software and IT Services, PostgreSQL.

Would you be open to a quick chat to explore this opportunity?

Best regards,
Nhat - UCTalent",,,,,,,,,pending,pending,pending,2026-07-09 08:59,2026-07-09 12:11
Cpi27P4LdQPj3eiLy-dOe,Technical Lead (Golang),,1280.0,"32,000,000 VND",VND,"Ho Chi Minh City, Vietnam","Upto $3,500/monthly",normal,"Engineering Management,Corporate Services,Golang,AWS,Web3,Artificial Intelligence (AI),Blockchain","This Technical Lead/Director role at our client focuses on shaping the future of gaming infrastructure. It requires an 80% hands-on coding contribution using Golang and React/Angular, combined with 20% leadership in mentoring staff and advising the CEO on technical strategy.The ideal candidate will have 8+ years of software engineering experience, strong system design skills, and expertise in AWS environments, with a drive for AI-enabled workflows.","site:linkedin.com/in ""Technical Lead"" (""Golang"" OR ""Corporate Services"" OR ""Web3"" OR ""Artificial Intelligence (AI)"" OR ""Blockchain"") (""web3"" OR ""blockchain"" OR ""defi"") ""Ho Chi Minh City, Vietnam""","Hi [FirstName],

I came across your profile and was impressed by your experience. We're currently hiring for a Technical Lead role based in Ho Chi Minh City, Vietnam (Upto $3,500/monthly), and your background seems like a great match.

Key skills we're looking for: Engineering Management, Corporate Services, Golang.

Would you be open to a quick chat to explore this opportunity?

Best regards,
Nhat - UCTalent",,,,,,,,,pending,pending,pending,2026-07-08 14:05,2026-07-09 12:11
UejO7nWYgCQXkUsGAophj,Tech Lead (Golang),,1280.0,"32,000,000 VND",VND,"Ho Chi Minh City, Vietnam","Upto ₫100,000,000/monthly",normal,"Engineering Management,Corporate Services,NoSQL,Golang,Ansible,Firebase,SQL,TypeScript","This high-impact, hands-on Technical Lead role at our client focuses on expanding and scaling a core live-streaming platform. As the Head of Technology, you will be the technical anchor for Backend and SRE functions, driving features from concept to deployment. Responsibilities include building, optimizing, and maintaining core infrastructure while leading and mentoring a high-performance engineering team.","site:linkedin.com/in ""Tech Lead"" (""Golang"" OR ""Corporate Services"" OR ""NoSQL"" OR ""Ansible"" OR ""Firebase"") ""Ho Chi Minh City, Vietnam""","Hi [FirstName],

I came across your profile and was impressed by your experience. We're currently hiring for a Tech Lead role based in Ho Chi Minh City, Vietnam (Upto ₫100,000,000/monthly), and your background seems like a great match.

Key skills we're looking for: Engineering Management, Corporate Services, NoSQL.

Would you be open to a quick chat to explore this opportunity?

Best regards,
Nhat - UCTalent",,,,,,,,,pending,pending,pending,2026-07-08 14:05,2026-07-09 12:11
ToRj-HGLn_36bGIlUEneQ,Full-Stack Software Engineer (AI-Driven Development – Claude Code),,1200.0,"$1,200",USD,,"Upto $4,000/monthly",normal,"Engineering,Software and IT Services,Artificial Intelligence (AI),Java,TypeScript,Vue,API,Next.js,React","We are a Berlin-based software company expanding our operations to Vietnam, and we are looking for a Full-Stack Software Engineer who actively integrates AI tools such as Claude Code and Cursor into their daily development workflow.In this role, you will leverage AI to accelerate development while maintaining high standards in system architecture, code quality, and long-term maintainability. You should be comfortable designing structured prompts, guiding AI-assisted implementations iteratively, and critically reviewing AI-generated code.This position is ideal for engineers who understand how to combine AI productivity with strong engineering judgment while contributing to the growth of a newly expanding engineering team in Vietnam.","site:linkedin.com/in ""Full-Stack Software Engineer"" (""Claude Code"" OR ""Artificial Intelligence (AI)"" OR ""Java"" OR ""TypeScript"" OR ""Next.js"") (""machine learning"" OR ""artificial intelligence"")","Hi [FirstName],

I came across your profile and was impressed by your experience. We're currently hiring for a Full-Stack Software Engineer role  (Upto $4,000/monthly), and your background seems like a great match.

Key skills we're looking for: Engineering, Software and IT Services, Artificial Intelligence (AI).

Would you be open to a quick chat to explore this opportunity?

Best regards,
Nhat - UCTalent",,,,,,,,,pending,pending,pending,2026-07-08 14:05,2026-07-09 12:11
ftpTiTHE2Y3PYNVV6ynGc,Principal / Senior Software Engineer - E-commerce Product,,960.0,$960,USD,"Ho Chi Minh City, Vietnam",You will love it,normal,"Engineering,Software and IT Services,Application Programming Interface (API),Python,Azure,AWS,GCP,Node.js,Java","We’re a profitable company with ~$800M in revenue, growing quickly and executing a clear strategy toward $1B+. In Vietnam, we operate as a product-focused, lean team embedded with our US partners. This role is based in Ho Chi Minh City (Saigon) and works directly with the US team, focusing exclusively on the US market (not Vietnam).Work LocationThanh My Loi (Diamond Island), Ho Chi Minh City, VietnamThe OpportunityWe operate an engineering environment where speed is no longer limited by tooling—but by engineering judgment.Our development workflow is highly optimized, allowing engineers to ship, test, and debug significantly faster than in traditional teams. This creates a new standard: each engineer is expected to deliver more, move faster, and still maintain high-quality systems.You will be joining an experienced, fast-moving engineering team where systems are already running in production at scale. You will be contributing to and improving an existing system alongside strong engineers. This role works directly with our colleagues based in the US with the possibility for on-site training in the US.This role is designed for senior engineers (7+ years of experience) who have built and operated systems through the full development lifecycle—before modern acceleration tooling existed—and understand what “good” looks like at every layer: code, design, architecture, and production.In this environment:You’ve seen how systems break in production—and know how to prevent itYou’ve debugged issues the hard way—and can now resolve them faster with better toolsYou understand trade-offs—and can make decisions that scale beyond immediate requirementsModern tooling helps accelerate execution, but correctness, scalability, and maintainability still depend on your judgment.We are looking for engineers who can combine:Strong fundamentals built over years of experienceDeep system thinking and architectural awarenessThe ability to operate at high speed without losing control of the system","site:linkedin.com/in ""Senior Software Engineer"" (""Python"" OR ""Azure"" OR ""Node.js"" OR ""Java"") ""Ho Chi Minh City, Vietnam""","Hi [FirstName],

I came across your profile and was impressed by your experience. We're currently hiring for a Principal / Senior Software Engineer - E-commerce Product role based in Ho Chi Minh City, Vietnam (You will love it), and your background seems like a great match.

Key skills we're looking for: Engineering, Software and IT Services, Application Programming Interface (API).

Would you be open to a quick chat to explore this opportunity?

Best regards,
Nhat - UCTalent",,,,,,,,,pending,pending,pending,2026-07-08 14:05,2026-07-09 12:11
kiRplFCz750SvWEbC75WT,Full-stack Developer (Golang),https://uctalent.io/referral/BirthdayN/fwHFU1jHExURyvR_vzvov?utm_source=headhunter&utm_medium=referral,800.0,"20,000,000 VND",VND,"Ho Chi Minh City, Vietnam",You will love it,normal,"Engineering,Corporate Services,Golang,Artificial Intelligence (AI),REST API,AWS,Web3,Blockchain","Our client is seeking a Senior Full-stack Engineer to build technology powering the next generation of gaming experiences. The role involves solving complex technical challenges across backend, frontend, and cloud infrastructure, working closely with global teams to deliver reliable platforms at scale. Candidates should have 5+ years of experience and strong skills in Go, Java, Angular, React, and AWS.","site:linkedin.com/in ""Full-stack Developer"" (""Golang"" OR ""Corporate Services"" OR ""Artificial Intelligence (AI)"" OR ""REST API"" OR ""Web3"") (""machine learning"" OR ""artificial intelligence"") ""Ho Chi Minh City, Vietnam""","Hi [FirstName],

I came across your profile and was impressed by your experience. We're currently hiring for a Full-stack Developer role based in Ho Chi Minh City, Vietnam (You will love it), and your background seems like a great match.

Key skills we're looking for: Engineering, Corporate Services, Golang.

Would you be open to a quick chat to explore this opportunity?

Best regards,
Nhat - UCTalent","Stop optimizing for ATS keywords. Start building things that matter.

Three years ago I was the one getting ghosted after 50+ applications. Could code circles around the requirements but didn't know how to package it. The rejection emails (when they came) said nothing useful.

Now I'm on the other side — headhunting for UCTalent, building the platform I wish existed then. We're hiring a Full-stack Golang dev in HCMC to work on: AI matching engine, Web3 identity layer, REST APIs on AWS. Real engineering problems. No fake ""ninja/rockstar"" BS.

The team is small. You'll own features end-to-end. Salary? You'll love it. Equity? On the table.

We don't care about your degree. We care about what you've shipped, what you've broken, what you learned.

Link in comments 👇

#Web3Jobs #Golang #UCTalent","Most devs I know are great at code, terrible at selling themselves. Companies can't find talent. Both sides lose.

We're hiring a Full-stack Golang dev in HCMC — AI, Web3, AWS, REST APIs. You build, we handle the noise.

Link in comments 👇

#Golang #Web3Jobs","Golang dev who wants to build AI + Web3 products that actually ship? 🚀

We're not another outsourcing shop. UCTalent's core team — building a decentralized hiring protocol where candidates don't get ghosted and HR gets real matches.

Stack: Go, REST APIs, AWS, AI integration, blockchain layer. You'll own features end-to-end, not just tickets.

HCMC-based. Salary makes you smile. Equity on table.

Link in comments 👇

#Golang #Web3Jobs #AI #FullstackDeveloper #HoChiMinhCity #UCTalent #BlockchainDev","HIRING: Full-stack Developer

Stop being ghosted by job apps.
AI matches you directly to hiring managers.

📍 Ho Chi Minh City, Vietnam
💰 You will love it

Apply via Nhat - UCTalent
uctalent.io","Apply directly via our AI Agent — no middlemen, no ghosting:
https://uctalent.io/referral/BirthdayN/fwHFU1jHExURyvRvzvov?utmsource=headhunter&utm_medium=referral","Apply directly:
https://uctalent.io/referral/BirthdayN/fwHFU1jHExURyvRvzvov?utmsource=headhunter&utm_medium=referral","Apply ngay:
https://uctalent.io/referral/BirthdayN/fwHFU1jHExURyvRvzvov?utmsource=headhunter&utm_medium=referral",,pending,pending,pending,2026-07-08 14:05,2026-07-09 12:11
OMxWi78xlmZJetRSjlprO,"DevOps Engineer (Azure, Terraform, Kubernetes, Cloud, Git)",,800.0,$800,USD,"Ho Chi Minh City, Vietnam","$2,000-$2,500/monthly",normal,"DevOps,Software and IT Services,Kubernetes,Terraform,Conversion Rate Optimization (CRO),ArgoCD,Azure","For more than 40 years, we have been a global leader in technology and innovation, helping industries make smarter decisions for their critical assets. Our mission is simple: use technology to create a safer, more sustainable future for businesses, society, and the planet.With 4,000+ experts in over 110 countries, we deliver advanced asset integrity management solutions that combine engineering excellence with digital innovation. Our work ensures the safety and reliability of pipelines, storage tanks, and industrial facilities worldwide.Head Office: GermanyWhy Build Your Career with us in Vietnam?Vietnam is one of our key growth markets, and we are looking for talented software developers to join our global technology team. At company, you will:Work on Global Projects: Collaborate with international teams and contribute to solutions used by industries worldwide.Innovate with Purpose: Develop software that supports energy transition and sustainability.Enjoy Career Stability: Join a company with 45 years of trusted innovation, success and continuous growth.Learn and Grow: Access world-class training, mentorship, and opportunities to work with cutting-edge technologies.The company in Vietnam is a shared service center within the global Group, established in 2025, with the mission to provide specialized services to Group entities worldwide. Based in Vietnam, the center focuses on delivering capabilities in ILI and NDT data analytics, software development, data engineering, and building scalable digital solutions. By combining technical expertise with close collaboration across the Group, the company supports efficient, scalable, and high-quality service delivery to internal stakeholders.Our solutions integrate Big Data & AI for predictive analytics, cloud platforms for asset integrity, high-performance diagnostic software, and secure, scalable systems for global industrial clients.Our new project is a key pillar of our digital transformation strategy and focuses on cloud-native architectures, advanced AI models and a modern JavaScript technology stack to streamline workflows, modernize the portfolio, and revolutionize how we analyze and interpret pipeline integrity data. By leveraging machine learning, advanced data processing, and cutting-edge web technologies, we aim to significantly reduce cycle times, increase customer satisfaction, and provide an intuitive, seamless user experience.What you can expect﻿You will be responsible for designing, implementing, and maintaining cloud infrastructure, ensuring it meets the needs of the organization and supports the development and deployment of applications. You will collaborate closely with a team of skilled professionals, including cloud architects, software developers, and product owners, to develop and refine cloud solutions. This team-oriented environment fosters innovation and continuous improvement.","site:linkedin.com/in ""DevOps Engineer"" (""Azure"" OR ""Terraform"" OR ""Kubernetes"" OR ""Cloud"" OR ""Git"") (""german"") ""Ho Chi Minh City, Vietnam""","Hi [FirstName],

I came across your profile and was impressed by your experience. We're currently hiring for a DevOps Engineer role based in Ho Chi Minh City, Vietnam ($2,000-$2,500/monthly), and your background seems like a great match.

Key skills we're looking for: DevOps, Software and IT Services, Kubernetes.

Would you be open to a quick chat to explore this opportunity?

Best regards,
Nhat - UCTalent",,,,,,,,,pending,pending,pending,2026-07-08 14:05,2026-07-09 12:11
V9S0THewbXVWkxgSjS7mM,AI Automation Developer,,800.0,$800,USD,"Ho Chi Minh City, Vietnam","$2,000-$4,500/monthly",normal,"Engineering,Software and IT Services,CI and CD,React,Azure,Node.js,Artificial Intelligence (AI),TypeScript,REST API,DevOps","For more than 40 years, we have been a global leader in technology and innovation, helping industries make smarter decisions for their critical assets. Our mission is simple: use technology to create a safer, more sustainable future for businesses, society, and the planet.With 4,000+ experts in over 110 countries, we deliver advanced asset integrity management solutions that combine engineering excellence with digital innovation. Our work ensures the safety and reliability of pipelines, storage tanks, and industrial facilities worldwide.Head Office: GermanyWork Location: Ung Van Khiem, Binh Thanh, Ho Chi Minh City, VietnamWhy Build Your Career with us in Vietnam?Vietnam is one of our key growth markets, and we are looking for talented software developers to join our global technology team. At company, you will:Work on Global Projects: Collaborate with international teams and contribute to solutions used by industries worldwide.Innovate with Purpose: Develop software that supports energy transition and sustainability.Enjoy Career Stability: Join a company with 45 years of trusted innovation, success and continuous growth.Learn and Grow: Access world-class training, mentorship, and opportunities to work with cutting-edge technologies.The company in Vietnam is a shared service center within the global Group, established in 2025, with the mission to provide specialized services to Group entities worldwide. Based in Vietnam, the center focuses on delivering capabilities in ILI and NDT data analytics, software development, data engineering, and building scalable digital solutions. By combining technical expertise with close collaboration across the Group, the company supports efficient, scalable, and high-quality service delivery to internal stakeholders.Our solutions integrate Big Data & AI for predictive analytics, cloud platforms for asset integrity, high-performance diagnostic software, and secure, scalable systems for global industrial clients.Are you passionate about transforming real business challenges into powerful AI-driven solutions? At the company, we are integrating Generative AI across our operational value chain to elevate efficiency, unlock new capabilities, and accelerate innovation. We are looking for a hands-on GenAI Developer who is excited to build, prototype, and deploy AI solutions that make a measurable impact on our daily operations. This is your opportunity to work close to the business, collaborate with domain experts, and turn ideas into production-ready solutions using the latest AI tools and technologies.","site:linkedin.com/in ""AI Automation Developer"" (""CI and CD"" OR ""React"" OR ""Azure"" OR ""Node.js"" OR ""Artificial Intelligence (AI)"") (""machine learning"" OR ""artificial intelligence"") (""german"") ""Ho Chi Minh City, Vietnam""","Hi [FirstName],

I came across your profile and was impressed by your experience. We're currently hiring for a AI Automation Developer role based in Ho Chi Minh City, Vietnam ($2,000-$4,500/monthly), and your background seems like a great match.

Key skills we're looking for: Engineering, Software and IT Services, CI and CD.

Would you be open to a quick chat to explore this opportunity?

Best regards,
Nhat - UCTalent",,,,,,,,,pending,pending,pending,2026-07-08 14:05,2026-07-09 12:11
